URUN_KODU;TARIH;MIKTAR
URUN-5;2015-11-01;6200
URUN-5;2015-12-01;4900
URUN-5;2016-01-01;4200
URUN-5;2016-02-01;7400
URUN-5;2016-03-01;600
URUN-5;2016-04-01;3000
URUN-5;2016-05-01;0
URUN-5;2016-06-01;1100
URUN-5;2016-07-01;5500
URUN-5;2016-08-01;500
URUN-5;2016-09-01;6700
URUN-5;2016-10-01;5300
URUN-5;2016-11-01;3900
URUN-5;2016-12-01;500
URUN-5;2017-01-01;8800
URUN-5;2017-02-01;1000
URUN-5;2017-03-01;2100
URUN-5;2017-04-01;6500
URUN-5;2017-05-01;3000
URUN-5;2017-06-01;6800
URUN-5;2017-07-01;500
URUN-5;2017-08-01;12200
URUN-5;2017-09-01;2000
URUN-5;2017-10-01;300
URUN-5;2017-11-01;4300
URUN-5;2017-12-01;1000
URUN-5;2018-01-01;2900
URUN-5;2018-02-01;7500
URUN-5;2018-03-01;3400
URUN-5;2018-04-01;500
URUN-5;2018-05-01;5000
URUN-5;2018-06-01;3000
URUN-5;2018-07-01;3500
URUN-5;2018-08-01;5100
URUN-5;2018-09-01;6000
URUN-5;2018-10-01;0
URUN-5;2018-11-01;2500
URUN-5;2018-12-01;0
URUN-6;2015-03-01;101629
URUN-6;2015-04-01;32000
URUN-6;2015-05-01;130000
URUN-6;2015-06-01;48750
URUN-6;2015-07-01;157125
URUN-6;2015-08-01;30000
URUN-6;2015-09-01;20750
URUN-6;2015-10-01;28000
URUN-6;2015-11-01;9250
URUN-6;2015-12-01;70500
URUN-6;2016-01-01;54750
URUN-6;2016-02-01;94750
URUN-6;2016-03-01;53750
URUN-6;2016-04-01;65250
URUN-6;2016-05-01;40500
URUN-6;2016-06-01;71000
URUN-6;2016-07-01;47875
URUN-6;2016-08-01;57125
URUN-6;2016-09-01;25750
URUN-6;2016-10-01;55250
URUN-6;2016-11-01;34000
URUN-6;2016-12-01;76125
URUN-6;2017-01-01;91500
URUN-6;2017-02-01;5000
URUN-6;2017-03-01;16750
URUN-6;2017-04-01;55750
URUN-6;2017-05-01;20508
URUN-6;2017-06-01;33250
URUN-6;2017-07-01;54125
URUN-6;2017-08-01;35625
URUN-6;2017-09-01;16125
