URUN_KODU;TARIH;MIKTAR
URUN-57;2015-03-01;163000
URUN-57;2015-04-01;28300
URUN-57;2015-05-01;100300
URUN-57;2015-06-01;40350
URUN-57;2015-07-01;44350
URUN-57;2015-08-01;66500
URUN-57;2015-09-01;29700
URUN-57;2015-10-01;25900
URUN-57;2015-11-01;115500
URUN-57;2015-12-01;80550
URUN-57;2016-01-01;31552
URUN-57;2016-02-01;50200
URUN-57;2016-03-01;42650
URUN-57;2016-04-01;44500
URUN-57;2016-05-01;21750
URUN-57;2016-06-01;37100
URUN-57;2016-07-01;61050
URUN-57;2016-08-01;42250
URUN-57;2016-09-01;27650
URUN-57;2016-10-01;50600
URUN-57;2016-11-01;40800
URUN-57;2016-12-01;13850
URUN-57;2017-01-01;74000
URUN-57;2017-02-01;27500
URUN-57;2017-03-01;89000
URUN-57;2017-04-01;11000
URUN-57;2017-05-01;85502
URUN-57;2017-06-01;16000
URUN-57;2017-07-01;113100
URUN-57;2017-08-01;19000
URUN-57;2017-09-01;64850
URUN-57;2017-10-01;42350
URUN-57;2017-11-01;35000
URUN-57;2017-12-01;42000
URUN-57;2018-01-01;102900
URUN-57;2018-02-01;40250
URUN-57;2018-03-01;51200
URUN-57;2018-04-01;61250
URUN-57;2018-05-01;74700
URUN-57;2018-06-01;37000
URUN-57;2018-07-01;64850
URUN-57;2018-08-01;97000
URUN-57;2018-09-01;152000
URUN-57;2018-10-01;68000
URUN-57;2018-11-01;24100
URUN-57;2018-12-01;8050
URUN-58;2015-03-01;16600
URUN-58;2015-04-01;27850
URUN-58;2015-05-01;17050
URUN-58;2015-06-01;15400
URUN-58;2015-07-01;10800
URUN-58;2015-08-01;19200
URUN-58;2015-09-01;23250
URUN-58;2015-10-01;4600
URUN-58;2015-11-01;15600
URUN-58;2015-12-01;21650
URUN-58;2016-01-01;3600
URUN-58;2016-02-01;20550
URUN-58;2016-03-01;12800
URUN-58;2016-04-01;18050
URUN-58;2016-05-01;15700
URUN-58;2016-06-01;26550
URUN-58;2016-07-01;24250
URUN-58;2016-08-01;5150
URUN-58;2016-09-01;9100
URUN-58;2016-10-01;16950
URUN-58;2016-11-01;12050
URUN-58;2016-12-01;9250
URUN-58;2017-01-01;3200
URUN-58;2017-02-01;35900
URUN-58;2017-03-01;25748
URUN-58;2017-04-01;16500
URUN-58;2017-05-01;9502
URUN-58;2017-06-01;4000
URUN-58;2017-07-01;14750
URUN-58;2017-08-01;13250
URUN-58;2017-09-01;25250
URUN-58;2017-10-01;14300
URUN-58;2017-11-01;2550
URUN-58;2017-12-01;4500
URUN-58;2018-01-01;27050
URUN-58;2018-02-01;9000
URUN-58;2018-03-01;26500
URUN-58;2018-04-01;15000
URUN-58;2018-05-01;9450
URUN-58;2018-06-01;25042
URUN-58;2018-07-01;29550
URUN-58;2018-08-01;7500
URUN-58;2018-09-01;36500
URUN-58;2018-10-01;9250
URUN-58;2018-11-01;11600
URUN-58;2018-12-01;8000
URUN-59;2015-03-01;8050
URUN-59;2015-04-01;18850
URUN-59;2015-05-01;11300
URUN-59;2015-06-01;6000
URUN-59;2015-07-01;9050
URUN-59;2015-08-01;18200
URUN-59;2015-09-01;3000
URUN-59;2015-10-01;2500
URUN-59;2015-11-01;9500
URUN-59;2015-12-01;12000
URUN-59;2016-01-01;0
URUN-59;2016-02-01;27150
URUN-59;2016-03-01;7500
URUN-59;2016-04-01;12000
URUN-59;2016-05-01;9000
URUN-59;2016-06-01;14500
URUN-59;2016-07-01;1500
URUN-59;2016-08-01;14200
URUN-59;2016-09-01;5500
URUN-59;2016-10-01;7000
URUN-59;2016-11-01;8500
URUN-59;2016-12-01;6000
URUN-59;2017-01-01;7600
URUN-59;2017-02-01;6000
URUN-59;2017-03-01;12000
URUN-59;2017-04-01;7000
URUN-59;2017-05-01;3502
URUN-59;2017-06-01;10000
URUN-59;2017-07-01;9300
URUN-59;2017-08-01;8500
URUN-59;2017-09-01;6550
URUN-59;2017-10-01;13000
URUN-59;2017-11-01;5000
URUN-59;2017-12-01;8500
URUN-59;2018-01-01;13000
URUN-59;2018-02-01;6500
URUN-59;2018-03-01;13000
URUN-59;2018-04-01;13000
URUN-59;2018-05-01;3500
URUN-59;2018-06-01;4500
URUN-59;2018-07-01;9050
URUN-59;2018-08-01;6500
URUN-59;2018-09-01;14000
URUN-59;2018-10-01;3000
URUN-59;2018-11-01;5600
URUN-59;2018-12-01;0
URUN-60;2016-02-01;40
URUN-60;2016-03-01;0
URUN-60;2016-04-01;20
URUN-60;2016-05-01;70
URUN-60;2016-06-01;200
URUN-60;2016-07-01;0
URUN-60;2016-08-01;330
URUN-60;2016-09-01;40
URUN-60;2016-10-01;0
URUN-60;2016-11-01;210
URUN-60;2016-12-01;190
URUN-60;2017-01-01;40
URUN-60;2017-02-01;260
URUN-60;2017-03-01;680
URUN-60;2017-04-01;60
URUN-60;2017-05-01;30
URUN-60;2017-06-01;0
URUN-60;2017-07-01;0
URUN-60;2017-08-01;36
URUN-60;2017-09-01;110
URUN-60;2017-10-01;60
URUN-60;2017-11-01;140
URUN-60;2017-12-01;10
URUN-60;2018-01-01;20
URUN-60;2018-02-01;0
URUN-60;2018-03-01;0
URUN-60;2018-04-01;94
URUN-60;2018-05-01;120
URUN-60;2018-06-01;0
URUN-60;2018-07-01;100
URUN-60;2018-08-01;0
URUN-60;2018-09-01;140
URUN-60;2018-10-01;0
URUN-60;2018-11-01;100
URUN-60;2018-12-01;90
URUN-61;2015-05-01;640
URUN-61;2015-06-01;4230
URUN-61;2015-07-01;4900
URUN-61;2015-08-01;4289
URUN-61;2015-09-01;2824
URUN-61;2015-10-01;4932
URUN-61;2015-11-01;3268
URUN-61;2015-12-01;3588
URUN-61;2016-01-01;4366
URUN-61;2016-02-01;4524
URUN-61;2016-03-01;3755
URUN-61;2016-04-01;9270
URUN-61;2016-05-01;6671
URUN-61;2016-06-01;3312
URUN-61;2016-07-01;5910
URUN-61;2016-08-01;7204
URUN-61;2016-09-01;11886
URUN-61;2016-10-01;12224
URUN-61;2016-11-01;4581
URUN-61;2016-12-01;2669
URUN-61;2017-01-01;3932
URUN-61;2017-02-01;5831
URUN-61;2017-03-01;5080
URUN-61;2017-04-01;11710
URUN-61;2017-05-01;4242
URUN-61;2017-06-01;3599
URUN-61;2017-07-01;5014
URUN-61;2017-08-01;6128
URUN-61;2017-09-01;4180
URUN-61;2017-10-01;3480
URUN-61;2017-11-01;0
URUN-61;2017-12-01;1854
URUN-61;2018-01-01;3955
URUN-61;2018-02-01;4224
URUN-61;2018-03-01;3690
URUN-61;2018-04-01;2693
URUN-61;2018-05-01;2363
URUN-61;2018-06-01;2700
URUN-61;2018-07-01;2051
URUN-61;2018-08-01;8327
URUN-61;2018-09-01;5740
URUN-61;2018-10-01;3761
URUN-61;2018-11-01;4877
URUN-61;2018-12-01;3226
URUN-62;2015-03-01;21695
URUN-62;2015-04-01;21650
URUN-62;2015-05-01;16785
URUN-62;2015-06-01;16165
URUN-62;2015-07-01;8435
URUN-62;2015-08-01;8585
URUN-62;2015-09-01;8930
URUN-62;2015-10-01;20200
URUN-62;2015-11-01;8120
URUN-62;2015-12-01;17720
URUN-62;2016-01-01;7525
URUN-62;2016-02-01;4412
URUN-62;2016-03-01;8975
URUN-62;2016-04-01;9005
URUN-62;2016-05-01;17640
URUN-62;2016-06-01;13760
URUN-62;2016-07-01;5356
URUN-62;2016-08-01;6865
URUN-62;2016-09-01;9510
URUN-62;2016-10-01;15205
URUN-62;2016-11-01;9055
URUN-62;2016-12-01;10355
URUN-62;2017-01-01;8753
URUN-62;2017-02-01;10855
URUN-62;2017-03-01;11235
URUN-62;2017-04-01;5960
URUN-62;2017-05-01;9990
URUN-62;2017-06-01;7710
URUN-62;2017-07-01;5125
URUN-62;2017-08-01;19532
URUN-62;2017-09-01;8032
URUN-62;2017-10-01;5395
URUN-62;2017-11-01;9175
URUN-62;2017-12-01;10900
URUN-62;2018-01-01;10625
URUN-62;2018-02-01;5109
URUN-62;2018-03-01;8235
URUN-62;2018-04-01;8345
URUN-62;2018-05-01;7670
URUN-62;2018-06-01;7795
URUN-62;2018-07-01;3355
URUN-62;2018-08-01;2855
URUN-62;2018-09-01;5560
URUN-62;2018-10-01;6380
URUN-62;2018-11-01;4457
URUN-62;2018-12-01;0
URUN-63;2015-03-01;72310
URUN-63;2015-04-01;85940
URUN-63;2015-05-01;60080
URUN-63;2015-06-01;57050
URUN-63;2015-07-01;41170
URUN-63;2015-08-01;27720
URUN-63;2015-09-01;47880
URUN-63;2015-10-01;69020
URUN-63;2015-11-01;23360
URUN-63;2015-12-01;53228
URUN-63;2016-01-01;12539
URUN-63;2016-02-01;27834
URUN-63;2016-03-01;30200
URUN-63;2016-04-01;45160
URUN-63;2016-05-01;72772
URUN-63;2016-06-01;39240
URUN-63;2016-07-01;17460
URUN-63;2016-08-01;37490
URUN-63;2016-09-01;35340
URUN-63;2016-10-01;42210
URUN-63;2016-11-01;36360
URUN-63;2016-12-01;45399
URUN-63;2017-01-01;34460
URUN-63;2017-02-01;29724
URUN-63;2017-03-01;62247
URUN-63;2017-04-01;11400
URUN-63;2017-05-01;35872
URUN-63;2017-06-01;27087
URUN-63;2017-07-01;20130
URUN-63;2017-08-01;52247
URUN-63;2017-09-01;41042
URUN-63;2017-10-01;19520
URUN-63;2017-11-01;28642
URUN-63;2017-12-01;40340
URUN-63;2018-01-01;19880
URUN-63;2018-02-01;24840
URUN-63;2018-03-01;25911
URUN-63;2018-04-01;1080
URUN-63;2018-05-01;19841
URUN-63;2018-06-01;36000
URUN-63;2018-07-01;10490
URUN-63;2018-08-01;13652
URUN-63;2018-09-01;17810
URUN-63;2018-10-01;22632
URUN-63;2018-11-01;11020
URUN-63;2018-12-01;551
URUN-64;2015-03-01;64210
URUN-64;2015-04-01;71292
URUN-64;2015-05-01;68640
URUN-64;2015-06-01;49632
URUN-64;2015-07-01;35892
URUN-64;2015-08-01;51768
URUN-64;2015-09-01;48324
URUN-64;2015-10-01;98340
URUN-64;2015-11-01;46865
URUN-64;2015-12-01;91408
URUN-64;2016-01-01;38349
URUN-64;2016-02-01;52041
URUN-64;2016-03-01;70020
URUN-64;2016-04-01;75672
URUN-64;2016-05-01;68712
URUN-64;2016-06-01;123696
URUN-64;2016-07-01;65544
URUN-64;2016-08-01;133433
URUN-64;2016-09-01;100446
URUN-64;2016-10-01;103824
URUN-64;2016-11-01;26816
URUN-64;2016-12-01;42084
URUN-64;2017-01-01;112390
URUN-64;2017-02-01;85297
URUN-64;2017-03-01;97849
URUN-64;2017-04-01;126421
URUN-64;2017-05-01;183005
URUN-64;2017-06-01;104627
URUN-64;2017-07-01;180444
URUN-64;2017-08-01;152031
URUN-64;2017-09-01;153630
URUN-64;2017-10-01;93432
URUN-64;2017-11-01;128520
URUN-64;2017-12-01;76896
URUN-64;2018-01-01;101964
URUN-64;2018-02-01;115271
URUN-64;2018-03-01;127437
URUN-64;2018-04-01;181058
URUN-64;2018-05-01;166573
URUN-64;2018-06-01;77896
URUN-64;2018-07-01;128483
URUN-64;2018-08-01;139054
URUN-64;2018-09-01;154248
URUN-64;2018-10-01;128438
URUN-64;2018-11-01;136852
URUN-64;2018-12-01;119158
URUN-65;2015-03-01;31500
URUN-65;2015-04-01;55800
URUN-65;2015-05-01;68500
URUN-65;2015-06-01;38400
URUN-65;2015-07-01;25400
URUN-65;2015-08-01;28400
URUN-65;2015-09-01;29000
URUN-65;2015-10-01;68800
URUN-65;2015-11-01;36400
URUN-65;2015-12-01;88200
URUN-65;2016-01-01;12614
URUN-65;2016-02-01;71600
URUN-65;2016-03-01;22200
URUN-65;2016-04-01;16800
URUN-65;2016-05-01;18800
URUN-65;2016-06-01;41000
URUN-65;2016-07-01;78400
URUN-65;2016-08-01;87800
URUN-65;2016-09-01;54024
URUN-65;2016-10-01;30300
URUN-65;2016-11-01;13200
URUN-65;2016-12-01;1800
URUN-65;2017-01-01;62200
URUN-65;2017-02-01;13604
URUN-65;2017-03-01;73204
URUN-65;2017-04-01;58800
URUN-65;2017-05-01;138050
URUN-65;2017-06-01;126784
URUN-65;2017-07-01;13200
URUN-65;2017-08-01;89841
URUN-65;2017-09-01;83600
URUN-65;2017-10-01;92600
URUN-65;2017-11-01;119600
URUN-65;2017-12-01;73400
URUN-65;2018-01-01;73200
URUN-65;2018-02-01;108100
URUN-65;2018-03-01;139000
URUN-65;2018-04-01;135000
URUN-65;2018-05-01;118200
URUN-65;2018-06-01;8600
URUN-65;2018-07-01;98600
URUN-65;2018-08-01;88200
URUN-65;2018-09-01;128000
URUN-65;2018-10-01;53402
URUN-65;2018-11-01;71794
URUN-65;2018-12-01;104600
URUN-66;2015-03-01;456585
URUN-66;2015-04-01;530773
URUN-66;2015-05-01;552996
URUN-66;2015-06-01;608068
URUN-66;2015-07-01;418518
URUN-66;2015-08-01;518977
URUN-66;2015-09-01;304366
URUN-66;2015-10-01;504654
URUN-66;2015-11-01;499311
URUN-66;2015-12-01;419374
URUN-66;2016-01-01;482752
URUN-66;2016-02-01;441720
URUN-66;2016-03-01;446909
URUN-66;2016-04-01;488835
URUN-66;2016-05-01;489966
URUN-66;2016-06-01;485094
URUN-66;2016-07-01;297978
URUN-66;2016-08-01;505743
URUN-66;2016-09-01;612456
URUN-66;2016-10-01;535590
URUN-66;2016-11-01;497139
URUN-66;2016-12-01;544783
URUN-66;2017-01-01;447773
URUN-66;2017-02-01;451188
URUN-66;2017-03-01;614324
URUN-66;2017-04-01;557564
URUN-66;2017-05-01;491621
URUN-66;2017-06-01;516471
URUN-66;2017-07-01;542804
URUN-66;2017-08-01;517340
URUN-66;2017-09-01;482913
URUN-66;2017-10-01;555235
URUN-66;2017-11-01;486271
URUN-66;2017-12-01;377476
URUN-66;2018-01-01;530458
URUN-66;2018-02-01;436404
URUN-66;2018-03-01;624703
URUN-66;2018-04-01;501996
URUN-66;2018-05-01;549644
URUN-66;2018-06-01;275618
URUN-66;2018-07-01;482170
URUN-66;2018-08-01;480610
URUN-66;2018-09-01;442777
URUN-66;2018-10-01;395815
URUN-66;2018-11-01;300075
URUN-66;2018-12-01;210769
URUN-67;2015-03-01;25331
URUN-67;2015-04-01;20883
URUN-67;2015-05-01;23856
URUN-67;2015-06-01;10665
URUN-67;2015-07-01;32148
URUN-67;2015-08-01;22980
URUN-67;2015-09-01;21360
URUN-67;2015-10-01;17697
URUN-67;2015-11-01;13853
URUN-67;2015-12-01;19926
URUN-67;2016-01-01;9216
URUN-67;2016-02-01;12308
URUN-67;2016-03-01;15154
URUN-67;2016-04-01;6815
URUN-67;2016-05-01;13587
URUN-67;2016-06-01;13329
URUN-67;2016-07-01;19407
URUN-67;2016-08-01;20686
URUN-67;2016-09-01;16357
URUN-67;2016-10-01;19028
URUN-67;2016-11-01;6411
URUN-67;2016-12-01;13592
URUN-67;2017-01-01;18002
URUN-67;2017-02-01;6897
URUN-67;2017-03-01;10786
URUN-67;2017-04-01;3137
URUN-67;2017-05-01;11311
URUN-67;2017-06-01;7416
URUN-67;2017-07-01;9145
URUN-67;2017-08-01;12301
URUN-67;2017-09-01;20472
URUN-67;2017-10-01;15848
URUN-67;2017-11-01;7776
URUN-67;2017-12-01;4394
URUN-67;2018-01-01;8230
URUN-67;2018-02-01;4835
URUN-67;2018-03-01;9195
URUN-67;2018-04-01;18062
URUN-67;2018-05-01;26410
URUN-67;2018-06-01;1610
URUN-67;2018-07-01;1344
URUN-67;2018-08-01;7925
URUN-67;2018-09-01;6102
URUN-67;2018-10-01;5619
URUN-67;2018-11-01;4559
URUN-67;2018-12-01;5111
URUN-68;2015-03-01;1023695
URUN-68;2015-04-01;1208541
URUN-68;2015-05-01;1287620
URUN-68;2015-06-01;1394660
URUN-68;2015-07-01;1037800
URUN-68;2015-08-01;1308300
URUN-68;2015-09-01;753048
URUN-68;2015-10-01;1296885
URUN-68;2015-11-01;1241272
URUN-68;2015-12-01;1047148
URUN-68;2016-01-01;1172172
URUN-68;2016-02-01;1092560
URUN-68;2016-03-01;1076758
URUN-68;2016-04-01;1165300
URUN-68;2016-05-01;1130373
URUN-68;2016-06-01;1015400
URUN-68;2016-07-01;930488
URUN-68;2016-08-01;1258656
URUN-68;2016-09-01;1158492
URUN-68;2016-10-01;1595422
URUN-68;2016-11-01;1265792
URUN-68;2016-12-01;1264559
URUN-68;2017-01-01;1022684
URUN-68;2017-02-01;1145466
URUN-68;2017-03-01;1461815
URUN-68;2017-04-01;1175531
URUN-68;2017-05-01;1232944
URUN-68;2017-06-01;986753
URUN-68;2017-07-01;1171175
URUN-68;2017-08-01;1384048
URUN-68;2017-09-01;944878
URUN-68;2017-10-01;1466650
URUN-68;2017-11-01;1435685
URUN-68;2017-12-01;724697
URUN-68;2018-01-01;1262742
URUN-68;2018-02-01;1234266
URUN-68;2018-03-01;1223352
URUN-68;2018-04-01;1417863
URUN-68;2018-05-01;1392026
URUN-68;2018-06-01;305880
URUN-68;2018-07-01;1224697
URUN-68;2018-08-01;1119710
URUN-68;2018-09-01;978610
URUN-68;2018-10-01;922733
URUN-68;2018-11-01;660623
URUN-68;2018-12-01;519016
URUN-69;2015-03-01;90301
URUN-69;2015-04-01;102904
URUN-69;2015-05-01;116158
URUN-69;2015-06-01;127477
URUN-69;2015-07-01;88604
URUN-69;2015-08-01;96784
URUN-69;2015-09-01;85101
URUN-69;2015-10-01;111226
URUN-69;2015-11-01;98548
URUN-69;2015-12-01;97069
URUN-69;2016-01-01;82451
URUN-69;2016-02-01;78152
URUN-69;2016-03-01;79722
URUN-69;2016-04-01;85118
URUN-69;2016-05-01;78229
URUN-69;2016-06-01;109132
URUN-69;2016-07-01;73550
URUN-69;2016-08-01;90099
URUN-69;2016-09-01;160332
URUN-69;2016-10-01;71129
URUN-69;2016-11-01;55560
URUN-69;2016-12-01;55398
URUN-69;2017-01-01;92342
URUN-69;2017-02-01;81834
URUN-69;2017-03-01;73902
URUN-69;2017-04-01;121825
URUN-69;2017-05-01;92074
URUN-69;2017-06-01;110548
URUN-69;2017-07-01;65960
URUN-69;2017-08-01;136933
URUN-69;2017-09-01;101803
URUN-69;2017-10-01;50543
URUN-69;2017-11-01;50376
URUN-69;2017-12-01;46185
URUN-69;2018-01-01;94695
URUN-69;2018-02-01;72171
URUN-69;2018-03-01;85718
URUN-69;2018-04-01;135390
URUN-69;2018-05-01;72227
URUN-69;2018-06-01;6955
URUN-69;2018-07-01;87268
URUN-69;2018-08-01;72043
URUN-69;2018-09-01;39481
URUN-69;2018-10-01;60875
URUN-69;2018-11-01;40104
URUN-69;2018-12-01;30307
URUN-70;2017-01-01;12
URUN-70;2017-02-01;0
URUN-70;2017-03-01;72
URUN-70;2017-04-01;0
URUN-70;2017-05-01;0
URUN-70;2017-06-01;30
URUN-70;2017-07-01;774
URUN-70;2017-08-01;3660
URUN-70;2017-09-01;4911
URUN-70;2017-10-01;5623
URUN-70;2017-11-01;3675
URUN-70;2017-12-01;3143
URUN-70;2018-01-01;5247
URUN-70;2018-02-01;3546
URUN-70;2018-03-01;5764
URUN-70;2018-04-01;5079
URUN-70;2018-05-01;4401
URUN-70;2018-06-01;1629
URUN-70;2018-07-01;4180
URUN-70;2018-08-01;4109
URUN-70;2018-09-01;5449
URUN-70;2018-10-01;3589
URUN-70;2018-11-01;3124
URUN-70;2018-12-01;2862
URUN-71;2015-03-01;76910
URUN-71;2015-04-01;69340
URUN-71;2015-05-01;61333
URUN-71;2015-06-01;105868
URUN-71;2015-07-01;49133
URUN-71;2015-08-01;58522
URUN-71;2015-09-01;41075
URUN-71;2015-10-01;86154
URUN-71;2015-11-01;56830
URUN-71;2015-12-01;44466
URUN-71;2016-01-01;50352
URUN-71;2016-02-01;66258
URUN-71;2016-03-01;43225
URUN-71;2016-04-01;75811
URUN-71;2016-05-01;67196
URUN-71;2016-06-01;58710
URUN-71;2016-07-01;35167
URUN-71;2016-08-01;59560
URUN-71;2016-09-01;30323
URUN-71;2016-10-01;57019
URUN-71;2016-11-01;56381
URUN-71;2016-12-01;50354
URUN-71;2017-01-01;84029
URUN-71;2017-02-01;29228
URUN-71;2017-03-01;29224
URUN-71;2017-04-01;41057
URUN-71;2017-05-01;45808
URUN-71;2017-06-01;44656
URUN-71;2017-07-01;47206
URUN-71;2017-08-01;57831
URUN-71;2017-09-01;46658
URUN-71;2017-10-01;38835
URUN-71;2017-11-01;33062
URUN-71;2017-12-01;25174
URUN-71;2018-01-01;38429
URUN-71;2018-02-01;41355
URUN-71;2018-03-01;36013
URUN-71;2018-04-01;44312
URUN-71;2018-05-01;28029
URUN-71;2018-06-01;17407
URUN-71;2018-07-01;36791
URUN-71;2018-08-01;38351
URUN-71;2018-09-01;18536
URUN-71;2018-10-01;19433
URUN-71;2018-11-01;20440
URUN-71;2018-12-01;13168
URUN-72;2015-03-01;24404
URUN-72;2015-04-01;37080
URUN-72;2015-05-01;35426
URUN-72;2015-06-01;46330
URUN-72;2015-07-01;27421
URUN-72;2015-08-01;26837
URUN-72;2015-09-01;29795
URUN-72;2015-10-01;34324
URUN-72;2015-11-01;24018
URUN-72;2015-12-01;25091
URUN-72;2016-01-01;6233
URUN-72;2016-02-01;25085
URUN-72;2016-03-01;29641
URUN-72;2016-04-01;25437
URUN-72;2016-05-01;31044
URUN-72;2016-06-01;30614
URUN-72;2016-07-01;25608
URUN-72;2016-08-01;36808
URUN-72;2016-09-01;44628
URUN-72;2016-10-01;37475
URUN-72;2016-11-01;30358
URUN-72;2016-12-01;24074
URUN-72;2017-01-01;29697
URUN-72;2017-02-01;14072
URUN-72;2017-03-01;14724
URUN-72;2017-04-01;24271
URUN-72;2017-05-01;18622
URUN-72;2017-06-01;15951
URUN-72;2017-07-01;20969
URUN-72;2017-08-01;26017
URUN-72;2017-09-01;21472
URUN-72;2017-10-01;13906
URUN-72;2017-11-01;13160
URUN-72;2017-12-01;8914
URUN-72;2018-01-01;16767
URUN-72;2018-02-01;19975
URUN-72;2018-03-01;20053
URUN-72;2018-04-01;18388
URUN-72;2018-05-01;15547
URUN-72;2018-06-01;11012
URUN-72;2018-07-01;26086
URUN-72;2018-08-01;15616
URUN-72;2018-09-01;6641
URUN-72;2018-10-01;16071
URUN-72;2018-11-01;6912
URUN-72;2018-12-01;5339
URUN-73;2016-07-01;1320
URUN-73;2016-08-01;0
URUN-73;2016-09-01;0
URUN-73;2016-10-01;0
URUN-73;2016-11-01;0
URUN-73;2016-12-01;0
URUN-73;2017-01-01;3
URUN-73;2017-02-01;4
URUN-73;2017-03-01;4
URUN-73;2017-04-01;0
URUN-73;2017-05-01;13
URUN-73;2017-06-01;55
URUN-73;2017-07-01;458
URUN-73;2017-08-01;49
URUN-73;2017-09-01;436
URUN-73;2017-10-01;0
URUN-73;2017-11-01;12
URUN-73;2017-12-01;36
URUN-73;2018-01-01;0
URUN-73;2018-02-01;2
URUN-73;2018-03-01;2
URUN-73;2018-04-01;48
URUN-73;2018-05-01;506
URUN-73;2018-06-01;207
URUN-73;2018-07-01;324
URUN-73;2018-08-01;455
URUN-73;2018-09-01;379
URUN-73;2018-10-01;760
URUN-73;2018-11-01;1120
URUN-73;2018-12-01;866
URUN-74;2016-07-01;640
URUN-74;2016-08-01;32
URUN-74;2016-09-01;0
URUN-74;2016-10-01;0
URUN-74;2016-11-01;0
URUN-74;2016-12-01;0
URUN-74;2017-01-01;8
URUN-74;2017-02-01;10
URUN-74;2017-03-01;29
URUN-74;2017-04-01;0
URUN-74;2017-05-01;216
URUN-74;2017-06-01;72
URUN-74;2017-07-01;1180
URUN-74;2017-08-01;893
URUN-74;2017-09-01;333
URUN-74;2017-10-01;0
URUN-74;2017-11-01;0
URUN-74;2017-12-01;36
URUN-74;2018-01-01;24
URUN-74;2018-02-01;56
URUN-74;2018-03-01;555
URUN-74;2018-04-01;116
URUN-74;2018-05-01;9891
URUN-74;2018-06-01;6764
URUN-74;2018-07-01;6630
URUN-74;2018-08-01;1560
URUN-74;2018-09-01;6275
URUN-74;2018-10-01;2024
URUN-74;2018-11-01;888
URUN-74;2018-12-01;0
URUN-75;2015-06-01;60
URUN-75;2015-07-01;10
URUN-75;2015-08-01;0
URUN-75;2015-09-01;0
URUN-75;2015-10-01;770
URUN-75;2015-11-01;1156
URUN-75;2015-12-01;11
URUN-75;2016-01-01;32
URUN-75;2016-02-01;20
URUN-75;2016-03-01;140
URUN-75;2016-04-01;792
URUN-75;2016-05-01;2390
URUN-75;2016-06-01;4620
URUN-75;2016-07-01;1280
URUN-75;2016-08-01;5210
URUN-75;2016-09-01;1610
URUN-75;2016-10-01;630
URUN-75;2016-11-01;5690
URUN-75;2016-12-01;4100
URUN-75;2017-01-01;12
URUN-75;2017-02-01;4060
URUN-75;2017-03-01;2997
URUN-75;2017-04-01;4180
URUN-75;2017-05-01;5022
URUN-75;2017-06-01;5360
URUN-75;2017-07-01;3250
URUN-75;2017-08-01;432
URUN-75;2017-09-01;4050
URUN-75;2017-10-01;10
URUN-75;2017-11-01;3860
URUN-75;2017-12-01;2110
URUN-75;2018-01-01;620
URUN-75;2018-02-01;4780
URUN-75;2018-03-01;560
URUN-75;2018-04-01;4260
URUN-75;2018-05-01;610
URUN-75;2018-06-01;1980
URUN-75;2018-07-01;2590
URUN-75;2018-08-01;1820
URUN-75;2018-09-01;4050
URUN-75;2018-10-01;2060
URUN-75;2018-11-01;1910
URUN-75;2018-12-01;910
URUN-76;2015-03-01;3240
URUN-76;2015-04-01;720
URUN-76;2015-05-01;2160
URUN-76;2015-06-01;2736
URUN-76;2015-07-01;840
URUN-76;2015-08-01;984
URUN-76;2015-09-01;48
URUN-76;2015-10-01;1872
URUN-76;2015-11-01;1824
URUN-76;2015-12-01;3528
URUN-76;2016-01-01;362
URUN-76;2016-02-01;3000
URUN-76;2016-03-01;2448
URUN-76;2016-04-01;12288
URUN-76;2016-05-01;20304
URUN-76;2016-06-01;14832
URUN-76;2016-07-01;12672
URUN-76;2016-08-01;15216
URUN-76;2016-09-01;8784
URUN-76;2016-10-01;0
URUN-76;2016-11-01;2880
URUN-76;2016-12-01;1128
URUN-76;2017-01-01;700
URUN-76;2017-02-01;2088
URUN-76;2017-03-01;2804
URUN-76;2017-04-01;2064
URUN-76;2017-05-01;24193
URUN-76;2017-06-01;1176
URUN-76;2017-07-01;11928
URUN-76;2017-08-01;3000
URUN-76;2017-09-01;3960
URUN-76;2017-10-01;672
URUN-76;2017-11-01;20927
URUN-76;2017-12-01;7872
URUN-76;2018-01-01;1392
URUN-76;2018-02-01;4800
URUN-76;2018-03-01;2076
URUN-76;2018-04-01;9000
URUN-76;2018-05-01;9216
URUN-76;2018-06-01;5880
URUN-76;2018-07-01;192
URUN-76;2018-08-01;1584
URUN-76;2018-09-01;480
URUN-76;2018-10-01;528
URUN-76;2018-11-01;170
URUN-76;2018-12-01;1104
URUN-77;2015-03-01;483
URUN-77;2015-04-01;361
URUN-77;2015-05-01;898
URUN-77;2015-06-01;376
URUN-77;2015-07-01;376
URUN-77;2015-08-01;800
URUN-77;2015-09-01;373
URUN-77;2015-10-01;1787
URUN-77;2015-11-01;4420
URUN-77;2015-12-01;5951
URUN-77;2016-01-01;0
URUN-77;2016-02-01;336
URUN-77;2016-03-01;944
URUN-77;2016-04-01;697
URUN-77;2016-05-01;731
URUN-77;2016-06-01;727
URUN-77;2016-07-01;1002
URUN-77;2016-08-01;1840
URUN-77;2016-09-01;286
URUN-77;2016-10-01;952
URUN-77;2016-11-01;979
URUN-77;2016-12-01;4104
URUN-77;2017-01-01;52786
URUN-77;2017-02-01;833
URUN-77;2017-03-01;909
URUN-77;2017-04-01;3029
URUN-77;2017-05-01;2680
URUN-77;2017-06-01;472
URUN-77;2017-07-01;435
URUN-77;2017-08-01;865
